nom,prix,type,annee,kilometrage,localisation
Kenworth T800,Pas de prix,Boom / Crane / Bucket Trucks,2010,1030946,"North East, Maryland,  US"
GIYI GY-TE780,Pas de prix,Other Trucks,2026,Non spécifié,"North East, Maryland,  US"
Mitsubishi FE180,Pas de prix,Box trucks,2021,Non spécifié,"North East, Maryland,  US"
Mitsubishi FE180,Pas de prix,Box trucks,2021,232232,"North East, Maryland,  US"
Freightliner FL112,Pas de prix,Tank Trucks,2001,58072,"North East, Maryland,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2024,83706,"Davenport, Florida,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,610554,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,611158,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Box trucks,2018,Non spécifié,"Davenport, Florida,  US"
Mack GU813,Pas de prix,Concrete Trucks,2015,161482,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2015,728542,"Lake Worth, Texas,  US"
Freightliner M2106,Pas de prix,Dump Trucks,2018,173854,"Davenport, Florida,  US"
Freightliner M2106,Pas de prix,Box trucks,2020,152980,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,836339,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,631243,"Lake Worth, Texas,  US"
Sterling Acterra,Pas de prix,Flatbed Trucks,2006,Non spécifié,"Davenport, Florida,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2024,69044,"Davenport, Florida,  US"
International 4300,Pas de prix,Box trucks,2013,183679,"Lake Worth, Texas,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,635832,"Lake Worth, Texas,  US"
Freightliner M2 106,Pas de prix,Dump Trucks,2007,351940,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Dump Trucks,2011,248745,"Lake Worth, Texas,  US"
International DuraStar 4300,Pas de prix,Reefer Trucks,2018,209598,"Davenport, Florida,  US"
Volvo 6x4 Tanker Truck,Pas de prix,Tank Trucks,Non spécifiée,Non spécifié,"Davenport, Florida,  US"
Hino 268,Pas de prix,Curtain Side Trucks,2018,171424,"Lake Worth, Texas,  US"
Peterbilt 348,Pas de prix,Dump Trucks,2012,399566,"Lake Worth, Texas,  US"
Chevrolet C4500,Pas de prix,Flatbed Trucks,2007,254192,"Lake Worth, Texas,  US"
International 4200,Pas de prix,Flatbed Trucks,2007,360884,"Lake Worth, Texas,  US"
Ford F-750,Pas de prix,Flatbed Trucks,2016,286034,"Lake Worth, Texas,  US"
Kenworth T-300,Pas de prix,Flatbed Trucks,2007,333868,"Lake Worth, Texas,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2024,68620,"Davenport, Florida,  US"
International 7600 SBA 6x4 Flatbed Dump Truck,Pas de prix,Dump Trucks,2007,397715,"Davenport, Florida,  US"
GMC Savana 3500,Pas de prix,Box trucks,2019,180403,"Lake Worth, Texas,  US"
CAT CT660,Pas de prix,Dump Trucks,2014,186432,"Lake Worth, Texas,  US"
International 4300,Pas de prix,Box trucks,2016,431615,"Newnan, Georgia,  US"
Volvo VAH,Pas de prix,Car Haulers,2014,818960,"Lake Worth, Texas,  US"
Isuzu NQR,Pas de prix,Reefer Trucks,2019,182823,"Chehalis, Washington,  US"
Freightliner M2,Pas de prix,Flatbed Trucks,2020,109553,"Las Vegas, Nevada,  US"
Chevrolet 3500,"12,000 USD",Flatbed Trucks,2001,Non spécifié,"Monroe, North Carolina,  US"
Kenworth T800,"25,000 USD",Tank Trucks,2013,Non spécifié,"Lake Worth, Texas,  US"
Hino 268,Pas de prix,Box trucks,2019,166437,"Perris, California,  US"
GMC C7500,Pas de prix,Flatbed Trucks,2003,137848,"Perris, California,  US"
Freightliner M2106,Pas de prix,Box trucks,2017,105979,"Perris, California,  US"
Peterbilt 567,Pas de prix,Dump Trucks,2018,392088,"Perris, California,  US"
Mack GU813,On Request,Other Trucks,2014,Non spécifié,"Tampa, Florida,  US"
RAM 3500 Promaster Cutaway,"45,000 USD",Box trucks,2023,Non spécifié,"Lake Worth, Texas,  US"
Kenworth T800,"37,500 USD",Tank Trucks,2014,Non spécifié,"Oklahoma City, Oklahoma,  US"
International HV607,"100,000 USD",Dump Trucks,2023,Non spécifié,"Chino, California,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2018,141911,"Perris, California,  US"
Ford F-550,Pas de prix,Flatbed Trucks,2016,148921,"Perris, California,  US"
Peterbilt 579,On Request,Other Trucks,2020,214141,"JX Truck Center - Bolingbrook, IL"
Peterbilt 579,On Request,Other Trucks,2023,321538,"JX Truck Center - Wadsworth, IL"
"Kenworth T270 26' Box Truck With 2,500lb Liftgate","64,500 USD",Box trucks,2020,67168,"Denver, Colorado,  US"
CAT 289D3,"78,750 USD",Skip loader trucks,2024,Non spécifié,"Prairieville, Louisiana,  US"
Kenworth T680,On Request,Other Trucks,2022,Non spécifié,"Rockford,  US"
