nom,prix,type,annee,kilometrage,localisation
Peterbilt 567,"129,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"169,950 USD",Dump Trucks,2021,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"199,950 USD",Dump Trucks,2021,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"279,950 USD",Dump Trucks,2026,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"264,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"149,950 USD",Dump Trucks,2020,547777,"Swedesboro, New Jersey,  US"
Kenworth T880,"124,950 USD",Dump Trucks,2019,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T480,"174,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"179,950 USD",Dump Trucks,2022,320056,"Swedesboro, New Jersey,  US"
Kenworth T880,"164,950 USD",Dump Trucks,2021,Non spécifié,"Coopersburg, Pennsylvania,  US"
United WT5000,"274,000 USD",Tank Trucks,2024,Non spécifié,"500 Cannon Creek Dr., Florida,  US"
Chevrolet 4500,"97,000 USD",Dump Trucks,2024,Non spécifié,"St. Louis, Missouri,  US"
Chevrolet 4500,"102,800 USD",Flatbed Trucks,2024,Non spécifié,"St. Louis, Missouri,  US"
Freightliner CASCADIA 125,"3,900 USD",Cab & Chassis Trucks,2012,540405,"Sparrow Bush, New York,  US"
Volvo VNM42T,"3,900 USD",Cab & Chassis Trucks,2012,450153,"Sparrow Bush, New York,  US"
Volvo VNM42T,"3,900 USD",Cab & Chassis Trucks,2016,510594,"Sparrow Bush, New York,  US"
Kenworth T270 26' Box Truck with Liftgate / Walkramp Combo,"54,500 USD",Box trucks,2022,106490,"Denver, Colorado,  US"
GMC 3500 16' Box Truck With Walk Ramp,"27,500 USD",Box trucks,2019,77796,"Denver, Colorado,  US"
LIGHT BOY GLO BUG SCENE LIGHT,"10,800 USD",Other Trucks,2024,Non spécifié,"Rice, Minnesota,  US"
Ford LTL9000,"23,899 USD",Dump Trucks,1987,Non spécifié,"Philadelphia, Pennsylvania,  US"
Mack RD690S,"30,900 USD",Dump Trucks,1988,Non spécifié,"Philadelphia, Pennsylvania,  US"
Ford 8000,"9,700 USD",Tank Trucks,1976,Non spécifié,"Philadelphia, Pennsylvania,  US"
Manitex tc 65159,On Request,Boom / Crane / Bucket Trucks,2023,Non spécifié,"Terryville, Connecticut,  US"
Peterbilt 379,"110,000 USD",Boom / Crane / Bucket Trucks,2004,3126,"Santa Rosa, California,  US"
Elliott L65R HiReach,On Request,Other Trucks,Non spécifiée,,Non spécifiée
Palfinger PSC6025,"105,000 USD",Boom / Crane / Bucket Trucks,2020,9800,"Boulder, Colorado,  US"
International HX615,"151,850 USD",Dump Trucks,2019,175000,"Columbus, Ohio,  US"
International HV613,"194,650 USD",Dump Trucks,2022,225520,"Columbus, Ohio,  US"
Kenworth T800,"139,900 USD",Dump Trucks,2015,490001,"Columbus, Ohio,  US"
Ford F 550 SD,"36,900 USD",Dump Trucks,2011,,Non spécifiée
Volvo VNM42T,"4,900 USD",Cab & Chassis Trucks,2012,488603,"Sparrow Bush, New York,  US"
Freightliner CASCADIA 125,"4,900 USD",Cab & Chassis Trucks,2012,441211,"Sparrow Bush, New York,  US"
Unmarked Unknown,"24,500 USD",Tank Trucks,1997,Non spécifié,"Lamar, Colorado,  US"
International 4700,"23,500 USD",Box trucks,2000,Non spécifié,"Austin, Texas,  US"
Diamond T M13,"15,500 USD",Cab & Chassis Trucks,1952,14679,"San Antonio, Texas,  US"
Chevrolet KODIAK C5500,"18,850 USD",Flatbed Trucks,2005,274375,"San Antonio, Texas,  US"
Kenworth T880,"159,950 USD",Dump Trucks,2016,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"149,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T480,"174,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T480,"174,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Mack GRANITE 64FR,"189,950 USD",Dump Trucks,2023,193693,"Coopersburg, Pennsylvania,  US"
Kenworth T280,"159,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 389,"139,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T480,"174,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T480,"174,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Wood-Mizer LT 40 Sawmill,"24,000 USD",Other Trucks,Non spécifiée,Non spécifié,"Omaha, Nebraska,  US"
Chevrolet Silverado 5500HD,"95,000 USD",Box trucks,2024,Non spécifié,"St. Louis, Missouri,  US"
Chevrolet Silverado 5500HD,"95,000 USD",Box trucks,2024,Non spécifié,"St. Louis, Missouri,  US"
Chevrolet Silverado 6500HD,"89,000 USD",Box trucks,2024,Non spécifié,"St. Louis, Missouri,  US"
Ford L8000,"25,000 USD",Tank Trucks,1995,Non spécifié,"High Ridge, Missouri,  US"
Chevrolet SILVERADO 5500HD,"44,995 USD",Flatbed Trucks,2022,,"Houston, Texas,  US"
Volvo VNM,"14,950 USD",Cab & Chassis Trucks,2018,639000,"Lone Jack, Missouri,  US"
Freightliner M2106,"29,500 USD",Box trucks,2021,277868,"Leeds, Alabama,  US"
Sterling LT8500 Mixer,"14,000 USD",Concrete Trucks,2004,Non spécifié,"Trenton, New Jersey,  US"
Kenworth T880,"159,000 USD",Dump Trucks,2017,371001,"Marysville, Washington,  US"
GMC Sierra 2500HD Denali,"45,900 USD",Other Trucks,2012,Non spécifié,"Emlenton, Pennsylvania,  US"
Ford Super Duty F-450,"38,888 USD",Flatbed Trucks,2017,105322,"London, Ohio,  US"
Chevrolet W5500 16' Armored Refrigerated Box Truck **Bullet,"34,500 USD",Other Trucks,2021,96197,"Denver, Colorado,  US"
Volvo VNM64T,"5,900 USD",Cab & Chassis Trucks,2018,783596,"Sparrow Bush, New York,  US"
Kenworth T880,"146,950 USD",Dump Trucks,2021,Non spécifié,"Buffalo, New York,  US"
Freightliner CASCADIA 125,"6,900 USD",Cab & Chassis Trucks,2015,765889,"Sparrow Bush, New York,  US"
Chevrolet Silverado 4500HD,"82,000 USD",Dump Trucks,2021,29489,"Southeast, US, North Carolina,  US"
Bridgewood 25X60 Wide Belt Sander,"9,000 USD",Other Trucks,Non spécifiée,Non spécifié,"Omaha, Nebraska,  US"
Mack MD6 42R,"126,985 USD",Cab & Chassis Trucks,2026,757,"Jacksonville, Florida,  US"
Mack MD6 42R,"126,985 USD",Cab & Chassis Trucks,2026,794,"Jacksonville, Florida,  US"
CAT 725WW,"695,000 USD",Tank Trucks,2023,Non spécifié,"525 County Road 640 East, Florida,  US"
Freightliner CASCADIA 125,"6,900 USD",Cab & Chassis Trucks,2017,734865,"Sparrow Bush, New York,  US"
Western Star 4900,"204,950 USD",Dump Trucks,2023,196000,"Toledo, Ohio,  US"
Western Star 4900,"204,950 USD",Dump Trucks,2023,185000,"Toledo, Ohio,  US"
Western Star 4900,"204,950 USD",Dump Trucks,2023,142000,"Toledo, Ohio,  US"
Ford SUPER DUTY F-250 SRW,"6,687 USD",Other Trucks,2014,Non spécifié,"Dillwyn, Virginia,  US"
CAT W00 740,On Request,Tank Trucks,2023,Non spécifié,"Cleburne, Texas,  US"
CAT W00 740,On Request,Tank Trucks,2022,Non spécifié,"Austin, Texas,  US"
CAT W00 725,On Request,Tank Trucks,2022,Non spécifié,"Austin, Texas,  US"
International 4300,"37,500 USD",Flatbed Trucks,2019,180000,"Yucaipa, California,  US"
Ford F 750 DUMP BED,"19,999 USD",Other Trucks,2004,Non spécifié,"Dillwyn, Virginia,  US"
CAT W00 740,On Request,Tank Trucks,2022,Non spécifié,"San Antonio, Texas,  US"
AM General HMMWV M1165A1 WB3,"28,750 USD",Other Trucks,2009,Non spécifié,"North Jackson, Ohio,  US"
Freightliner M2,"49,500 USD",Beverage Trucks,2017,156000,"Galion, Ohio,  US"
Freightliner M2,"49,500 USD",Beverage Trucks,2017,147000,"Galion, Ohio,  US"
Volvo VNM64T,"5,900 USD",Cab & Chassis Trucks,2016,737314,"Sparrow Bush, New York,  US"
Peterbilt 320,"48,000 USD",Other Trucks,2009,Non spécifié,"Katy, Texas,  US"
Chevrolet TAHOE,"5,999 USD",Other Trucks,2004,Non spécifié,"Dillwyn, Virginia,  US"
United WT5000,"275,000 USD",Tank Trucks,2024,Non spécifié,"415 Community College Pky, Florida,  US"
Chevrolet (OBSOLETE) C4500,"11,900 USD",Tank Trucks,2006,Non spécifié,"Eloy, Arizona,  US"
Mack GU700,On Request,Cab & Chassis Trucks,2013,157469,"I-State Truck Center - Marshfield, WI"
Sterling LT9500,On Request,Other Trucks,2005,Non spécifié,"I-State Truck Center - Marshfield, WI"
Kenworth T800,"125,000 USD",Dump Trucks,2019,Non spécifié,"Fort Worth, Texas,  US"
Kenworth T800,"125,000 USD",Dump Trucks,2019,Non spécifié,"Fort Worth, Texas,  US"
National 1400H,"189,900 USD",Boom / Crane / Bucket Trucks,2013,Non spécifié,"California, USA, California,  US"
Mack PINNACLE CXU613,"67,900 USD",Dump Trucks,2016,641245,"Fort Worth, Texas,  US"
AM General HMMWV M1097R1,"17,990 USD",Other Trucks,2007,Non spécifié,"North Jackson, Ohio,  US"
International 4800,"4,500 USD",Flatbed Trucks,1990,Non spécifié,"McMinnville, Oregon,  US"
Hino L7,"98,500 USD",Cab & Chassis Trucks,2025,10,"Lowell, Arkansas,  US"
Isuzu NRR,"63,000 USD",Cab & Chassis Trucks,2025,,Non spécifiée
Isuzu NRR,"63,000 USD",Cab & Chassis Trucks,2025,,Non spécifiée
Isuzu NRR,"63,000 USD",Cab & Chassis Trucks,2025,,Non spécifiée
International 4300 Fuel Truck,"39,500 USD",Tank Trucks,2003,Non spécifié,"Murray, Utah,  US"
Mack TD713,"89,750 USD",Other Trucks,2017,420000,"Hinckley, Illinois,  US"
Mack Titan TD 713,"89,750 USD",Other Trucks,2016,545000,"Hinckley, Illinois,  US"
Mack Titan TD 713,"89,750 USD",Cab & Chassis Trucks,2017,461000,"Hinckley, Illinois,  US"
Volvo VED12,"44,900 USD",Dump Trucks,2002,679001,"Wayne, Michigan,  US"
Freightliner M2 Rollback,"75,900 USD",Winch trucks,2017,Non spécifié,"Philadelphia, Pennsylvania,  US"
Isuzu DIESEL NRR DIESEL,On Request,Other Trucks,2025,Non spécifié,"Aurora, Illinois,  US"
Chevrolet SILVERADO 4500HD,"64,984 USD",Flatbed Trucks,2019,Non spécifié,"Morrisville, Pennsylvania,  US"
Chevrolet SILVERADO 4500HD,"64,984 USD",Demountable Trucks,2019,Non spécifié,"Morrisville, Pennsylvania,  US"
Chevrolet SILVERADO 4500HD,"64,984 USD",Container Trucks,2019,Non spécifié,"Morrisville, Pennsylvania,  US"
Western Star 49X,"190,000 USD",Cab & Chassis Trucks,2025,1777,"I-State Truck Center - Sioux City, IA"
Kenworth T880,"249,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T280,"159,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"139,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"229,950 USD",Cab & Chassis Trucks,2026,Non spécifié,"Coopersburg, Pennsylvania,  US"
Isuzu NPR,"18,995 USD",Other Trucks,2018,159000,"Los Angeles, California,  US"
Isuzu NPR,"19,995 USD",Other Trucks,2019,148000,"Los Angeles, California,  US"
Isuzu NPR,"18,995 USD",Other Trucks,2018,157000,"Los Angeles, California,  US"
Chevrolet C 7500,"7,900 USD",Cab & Chassis Trucks,2005,Non spécifié,"Alexandria, Virginia,  US"
GMC SIERRA 2500,"3,999 USD",Other Trucks,1993,Non spécifié,"Dillwyn, Virginia,  US"
Freightliner M2 112,"53,900 USD",Dump Trucks,2006,Non spécifié,"Birmingham, Alabama,  US"
Ford F550 Rollback,"47,000 USD",Winch trucks,2017,Non spécifié,"Philadelphia, Pennsylvania,  US"
Ford F550 Rollback,"29,999 USD",Winch trucks,2008,Non spécifié,"Philadelphia, Pennsylvania,  US"
Scania 113M,"29,900 USD",Dump Trucks,1992,300001,"Wayne, Michigan,  US"
Freightliner M 106,"54,950 USD",Box trucks,2019,242208,"Kansas City, Missouri,  US"
CCC CAB & CHASSIS,"6,900 USD",Cab & Chassis Trucks,2005,66465,"Sparrow Bush, New York,  US"
GMC 9500 Dump Truck,"12,900 USD",Dump Trucks,1986,Non spécifié,"Alexandria, Virginia,  US"
Peterbilt 357,"25,000 USD",Dump Trucks,1997,140000,"Minto, North Dakota,  US"
Western Star 4700,"100,000 USD",Dump Trucks,2017,334001,"PENSACOLA, Florida,  US"
Sterling L7500,On Request,Dump Trucks,2003,75600,"Springfield, Ohio,  US"
P&H T300A,On Request,Boom / Crane / Bucket Trucks,1979,Non spécifié,"Pittsburgh, Pennsylvania,  US"
International WorkStar 7600 SFA,On Request,Dump Trucks,2007,359001,"Pittsburgh, Pennsylvania,  US"
Western Star 4700,"100,000 USD",Dump Trucks,2017,365001,"PENSECOLA, Florida,  US"
Mercedes-Benz SPRINTER 3500 XD,On Request,Flatbed Trucks,2019,24175,"HICKORY, Louisiana,  US"
Kenworth W900,"29,000 USD",Cab & Chassis Trucks,1984,255000,"Eugene, Oregon,  US"
RAM 3500,"69,987 USD",Flatbed Trucks,2024,Non spécifié,"Morrisville, Pennsylvania,  US"
RAM 3500,"69,987 USD",Flatbed Trucks,2024,Non spécifié,"Morrisville, Pennsylvania,  US"
Red Rover Flatbed,"2,500 USD",Other Trucks,2022,Non spécifié,"Middletown, Connecticut,  US"
AIR-FLO MFG PCS 11-3-DS,"10,999 USD",Other Trucks,2025,Non spécifié,"Middletown, Connecticut,  US"
AIR-FLO MFG PCS 11-3,"10,280 USD",Other Trucks,2025,Non spécifié,"Middletown, Connecticut,  US"
Freightliner M2-106,"6,900 USD",Box trucks,2008,Non spécifié,"Sparrow Bush, New York,  US"
Ford LT8513,"24,500 USD",Dump Trucks,1998,,"Holgate, Ohio,  US"
Tafco 12' STEEL LANDSCAPE PLATFORM,On Request,Other Trucks,2025,Non spécifié,"Middletown, Connecticut,  US"
Kenworth T300,"9,900 USD",Box trucks,2006,632900,"Sparrow Bush, New York,  US"
EGN EG360 SKID LOADER,"7,950 USD",Other Trucks,2024,Non spécifié,"Lake Placid, Florida,  US"
Volvo VNM42T,"5,900 USD",Cab & Chassis Trucks,2012,475923,"Sparrow Bush, New York,  US"
International 2554,"14,500 USD",Dump Trucks,1991,128045,"Albany, Oregon,  US"
Mack GR64BX,"162,950 USD",Dump Trucks,2025,1,"Nextran Truck Centers - Miami, FL"
Kenworth W900,"289,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Autocar DC64,"212,900 USD",Dump Trucks,2024,650,"Ocala, Florida,  US"
Manitex 35124C,"435,000 USD",Boom / Crane / Bucket Trucks,2024,Non spécifié,"Houston, Texas,  US"
Freightliner 108SD,"79,500 USD",Flatbed Trucks,2014,121347,"Hatfield, Pennsylvania,  US"
Freightliner BUSINESS CLASS M2 106,"99,500 USD",Flatbed Trucks,2013,300942,"Hatfield, Pennsylvania,  US"
Freightliner 114SD,"149,500 USD",Flatbed Trucks,2014,182465,"Hatfield, Pennsylvania,  US"
Volvo VHD 7 axle automatic dump truck,"125,000 USD",Dump Trucks,2018,545000,"Springfield, Virginia,  US"
Ford F650 SD,On Request,Cab & Chassis Trucks,2021,,"Greensboro, North Carolina,  US"
Sterling ACTERRA,"5,900 USD",Box trucks,2005,Non spécifié,"Sparrow Bush, New York,  US"
International 4300,"5,500 USD",Box trucks,2005,Non spécifié,"Sparrow Bush, New York,  US"
Mack MD7,"223,377 USD",Cab & Chassis Trucks,2025,1117,"Dallas, Texas,  US"
Hino L7,"94,500 USD",Cab & Chassis Trucks,2025,10,"Lowell, Arkansas,  US"
Mack MD6,"87,967 USD",Cab & Chassis Trucks,2025,115,"Albuquerque, New Mexico,  US"
Ford F550 Bucket Truck,"25,500 USD",Other Trucks,2006,Non spécifié,"Hildale, Utah,  US"
Kenworth T880,"279,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"279,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"279,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Peterbilt 567,"134,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Volvo VNL,785 USD,Tank Trucks,2014,Non spécifié,"Sulphur Springs, Texas,  US"
International 9100i,359 USD,Tank Trucks,2002,Non spécifié,"Sulphur Springs, Texas,  US"
International 9400i,799 USD,Tank Trucks,2005,Non spécifié,"Sulphur Springs, Texas,  US"
Altec AC38-103,"104,500 USD",Boom / Crane / Bucket Trucks,2007,Non spécifié,"Crawfordville, Florida,  US"
Hino 338,"59,500 USD",Beverage Trucks,2019,53000,"Columbia, South Carolina,  US"
Ford E350,"6,995 USD",Other Trucks,2004,190000,"Los Angeles, California,  US"
Volvo VNM42T,"5,900 USD",Cab & Chassis Trucks,2012,548970,"Sparrow Bush, New York,  US"
Ford F-750,"35,500 USD",Flatbed Trucks,2015,47118,"northeast US, North Carolina,  US"
BIK HL 70T,On Request,Other Trucks,2025,,"BIK Boom Trucks - Etobicoke, ON"
BIK HL 100T,On Request,Other Trucks,2025,,Non spécifiée
BIK HL 58T,On Request,Other Trucks,2025,,"BIK Boom Trucks - Etobicoke, ON"
BIK HL 65T,On Request,Other Trucks,2025,,"BIK Boom Trucks - Etobicoke, ON"
BIK HL 45T,On Request,Other Trucks,2025,,"BIK Boom Trucks - Etobicoke, ON"
BIK HL 40T,On Request,Other Trucks,2025,,"BIK Boom Trucks - Etobicoke, ON"
Elliott M87R,On Request,Other Trucks,Non spécifiée,,Non spécifiée
BIK HL 86T,On Request,Other Trucks,2025,,"BIK Boom Trucks - Etobicoke, ON"
Mack RD688SX,"34,950 USD",Dump Trucks,2002,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"139,950 USD",Dump Trucks,2018,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth W900B,"189,950 USD",Dump Trucks,2022,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"279,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Freightliner FLD120,"79,950 USD",Cab & Chassis Trucks,2007,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"269,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"179,950 USD",Dump Trucks,2020,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"259,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth W900,"169,950 USD",Dump Trucks,2020,456412,"Swedesboro, New Jersey,  US"
Kenworth T880,"149,950 USD",Dump Trucks,2020,514177,"Swedesboro, New Jersey,  US"
Peterbilt 567,"194,950 USD",Dump Trucks,2020,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"134,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"169,950 USD",Dump Trucks,2021,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T800,"159,950 USD",Dump Trucks,2019,265469,"Swedesboro, New Jersey,  US"
Peterbilt 567,"149,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T380,"169,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T380,"129,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"249,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"279,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"199,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"259,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"269,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Mack GRANITE GU713,"129,950 USD",Dump Trucks,2016,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"179,950 USD",Dump Trucks,2021,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"179,950 USD",Dump Trucks,2020,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"149,950 USD",Dump Trucks,2018,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"279,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T380,"169,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"149,950 USD",Dump Trucks,2021,378031,"Swedesboro, New Jersey,  US"
Peterbilt 567,"189,950 USD",Dump Trucks,2020,Non spécifié,"Coopersburg, Pennsylvania,  US"
Chevrolet SILVERADO 6500HD,"124,950 USD",Dump Trucks,2023,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T480,"204,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T380,"169,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"264,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Mack GRANITE 64FR,"149,950 USD",Dump Trucks,2019,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth W900B,"189,950 USD",Dump Trucks,2022,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"264,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Peterbilt 389,"209,950 USD",Dump Trucks,2020,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T480,"204,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"249,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"159,950 USD",Dump Trucks,2020,Non spécifié,"Swedesboro, New Jersey,  US"
Peterbilt 567,"179,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"179,950 USD",Dump Trucks,2022,367120,"Swedesboro, New Jersey,  US"
Kenworth T880,"99,900 USD",Dump Trucks,2016,578505,"Coopersburg, Pennsylvania,  US"
Kenworth T380,"129,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"164,950 USD",Dump Trucks,2018,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"139,950 USD",Dump Trucks,2017,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"194,950 USD",Dump Trucks,2021,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"189,950 USD",Dump Trucks,2020,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth W900,"174,950 USD",Dump Trucks,2021,435339,"Swedesboro, New Jersey,  US"
Kenworth T380,"169,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"224,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Mack GRANITE GU713,"139,950 USD",Dump Trucks,2016,215128,"Swedesboro, New Jersey,  US"
Kenworth T880,"259,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T800,"154,950 USD",Dump Trucks,2019,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T480,"149,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"159,950 USD",Dump Trucks,2020,326504,"Swedesboro, New Jersey,  US"
Kenworth T880,"254,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"179,950 USD",Dump Trucks,2020,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"174,950 USD",Dump Trucks,2020,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"269,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Sterling LT9511,"39,950 USD",Dump Trucks,2001,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"279,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T480,"204,950 USD",Dump Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"169,950 USD",Dump Trucks,2021,426123,"Swedesboro, New Jersey,  US"
Kenworth T800,"124,950 USD",Dump Trucks,2014,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"219,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T480,"149,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T380,"129,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"269,950 USD",Dump Trucks,2024,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"179,950 USD",Dump Trucks,2020,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth W900,"269,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"169,950 USD",Dump Trucks,2022,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T800,"159,950 USD",Dump Trucks,2020,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T380,"129,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 389,"169,950 USD",Dump Trucks,2016,Non spécifié,"Swedesboro, New Jersey,  US"
Peterbilt 357,"99,950 USD",Flatbed Trucks,2007,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T380,"129,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"164,950 USD",Dump Trucks,2018,Non spécifié,"Coopersburg, Pennsylvania,  US"
Peterbilt 567,"179,950 USD",Dump Trucks,2021,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth T880,"254,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"199,950 USD",Dump Trucks,2022,321620,"Swedesboro, New Jersey,  US"
Kenworth T880,"254,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"139,950 USD",Dump Trucks,2018,Non spécifié,"Coopersburg, Pennsylvania,  US"
Kenworth W990,"289,950 USD",Dump Trucks,2025,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T800,"129,950 USD",Dump Trucks,2016,Non spécifié,"Swedesboro, New Jersey,  US"
Kenworth T880,"199,950 USD",Cab & Chassis Trucks,2025,Non spécifié,"Coopersburg, Pennsylvania,  US"
