titre,lien,categorie,annee,kilometrage,ville,prix
Mack GR64B,https://www.mascus.com/transportation/concrete-trucks/mack-gr64b/8n3m8s3h.html,Concrete Trucks,2023,41064mil,"Lake Worth, Texas,  US",Place a bid
Gallegos Concrete Pig,https://www.mascus.com/transportation/other-trucks/gallegos-concrete-pig/am9gaggn.html,Other Trucks,2023,"Lake Worth, Texas,  US",,Place a bid
Freightliner M2106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2106/ckhh3ncg.html,Box trucks,2018,277353mil,"Lake Worth, Texas,  US",Place a bid
Western Star 4700SF,https://www.mascus.com/transportation/tipper-trucks/western-star-4700sf/5uao7gfr.html,Dump Trucks,2015,270958mil,"Lake Worth, Texas,  US",Place a bid
Hino 268,https://www.mascus.com/transportation/box-body-trucks/hino-268/hicfds4u.html,Box trucks,2017,184676mil,"North East, Maryland,  US",Place a bid
Ford F-550,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f-550/itah4jff.html,Flatbed Trucks,2019,98230mil,"Lake Worth, Texas,  US",Place a bid
Ford F-450,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f-450/gpgh5lfi.html,Flatbed Trucks,2016,219653mil,"Lake Worth, Texas,  US",Place a bid
Ford F-750,https://www.mascus.com/transportation/box-body-trucks/ford-f-750/ch9j7jgj.html,Box trucks,2019,191170mil,"Davenport, Florida,  US",Place a bid
Freightliner M2106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2106/9udkdugg.html,Box trucks,2019,132621mil,"Davenport, Florida,  US",Place a bid
Mack GR64B,https://www.mascus.com/transportation/concrete-trucks/mack-gr64b/4u6i8jeg.html,Concrete Trucks,2023,36985mil,"Lake Worth, Texas,  US",Place a bid
Fruehauf M-104,https://www.mascus.com/transportation/tipper-trucks/fruehauf-m-104/ff7q4tbh.html,Dump Trucks,"Davenport, Florida,  US",,,Place a bid
Western Star 4700SF,https://www.mascus.com/transportation/tipper-trucks/western-star-4700sf/3k8kclap.html,Dump Trucks,2015,298065mil,"Lake Worth, Texas,  US",Place a bid
Volvo VAH,https://www.mascus.com/transportation/vehicle-transporters/volvo-vah/iuek9kdr.html,Car Haulers,2016,677358mil,"Lake Worth, Texas,  US",Place a bid
Chevrolet C4500,https://www.mascus.com/transportation/flatbed-dropside-trucks/chevrolet-c4500/8pgg7k4p.html,Flatbed Trucks,2006,"Lake Worth, Texas,  US",,"Make Offer / Buy Now
33,500 USD"
Freightliner M2106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2106/6q3o8o6p.html,Box trucks,2016,506494mil,"Phoenix, Arizona,  US",Place a bid
Chevrolet Silverado 3500HD,https://www.mascus.com/transportation/flatbed-dropside-trucks/chevrolet-silverado-3500hd/5lgmajak.html,Flatbed Trucks,2016,67865mil,"Phoenix, Arizona,  US",Place a bid
Chevrolet Silverado 3500HD,https://www.mascus.com/transportation/flatbed-dropside-trucks/chevrolet-silverado-3500hd/bthp8q8p.html,Flatbed Trucks,2016,"Phoenix, Arizona,  US",,Place a bid
Freightliner M2106,https://www.mascus.com/transportation/tipper-trucks/freightliner-m2106/am7g5p6i.html,Dump Trucks,2009,19953mil,"Perris, California,  US",Place a bid
Peterbilt 335,https://www.mascus.com/transportation/tank-trucks/peterbilt-335/hp8p3qer.html,Tank Trucks,2006,"Lake Worth, Texas,  US",,"Make Offer / Buy Now
80,000 USD"
Freightliner M2106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2106/7rgtbj6j.html,Box trucks,2019,226227mil,"Phoenix, Arizona,  US",Place a bid
Freightliner M2 106,https://www.mascus.com/transportation/flatbed-dropside-trucks/freightliner-m2-106/cich4q8s.html,Flatbed Trucks,2018,204812mil,"Perris, California,  US",Place a bid
Chevrolet C8500,https://www.mascus.com/transportation/other-trucks/chevrolet-c8500/aldhffhm.html,Other Trucks,2006,"Prairieville, Louisiana,  US",,"8,500 USD"
Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/3u6n9kio.html,Dump Trucks,2023,"Prairieville, Louisiana,  US",,"189,999 USD"
"Peterbilt 384 10' Dump Truck, Cummins ISX12, 10 Spd Manual",https://www.mascus.com/transportation/tipper-trucks/peterbilt-384-10-dump-truck-cummins-isx12-10-spd-manual/boep8j9o.html,Dump Trucks,2013,82355mil,"Denver, Colorado,  US","79,500 USD"
Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/gm7s4thh.html,Dump Trucks,2025,"Prairieville, Louisiana,  US",,"225,000 USD"
"Freightliner M2-106 Crew Cab 24' Box Truck, 2,500 Lbs. Liftgate",https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106-crew-cab-24-box-truck-2-500-lbs-liftgate/3iiq9idh.html,Box trucks,2013,154968mil,"Denver, Colorado,  US","35,500 USD"
Freightliner M2 106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106/aphpei7i.html,Box trucks,2023,381690mil,"Morris, Illinois,  US",Place a bid
Chevrolet Kodiak,https://www.mascus.com/transportation/tipper-trucks/chevrolet-kodiak/6kbu7lat.html,Dump Trucks,2000,182795mil,"Morris, Illinois,  US",Place a bid
Ford F750,https://www.mascus.com/transportation/tipper-trucks/ford-f750/ihcgfh4g.html,Dump Trucks,2000,"Prairieville, Louisiana,  US",,"15,000 USD"
Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/iidqfifh.html,Dump Trucks,2023,"Prairieville, Louisiana,  US",,"189,999 USD"
Volvo VHD84B,https://www.mascus.com/transportation/skip-loader-trucks/volvo-vhd84b/ejcs6sen.html,Skip loader trucks,2013,326013mil,"Morris, Illinois,  US",Place a bid
International 8600,https://www.mascus.com/transportation/flatbed-dropside-trucks/international-8600/bict7uas.html,Flatbed Trucks,2009,335223mil,"Morris, Illinois,  US",Place a bid
Kenworth (OBSOLETE) 4K TRUCK,https://www.mascus.com/transportation/tank-trucks/kenworth-obsolete-4k-truck/fmdifn6n.html,Tank Trucks,2016,10326h,"Apache Junction, Arizona,  US","89,032 USD"
International 4K TRK AZ,https://www.mascus.com/transportation/tank-trucks/international-4k-trk-az/ik7q9phr.html,Tank Trucks,2019,7265h,"Safford, Arizona,  US","94,030 USD"
Kenworth (OBSOLETE) 2K TRK AZ,https://www.mascus.com/transportation/tank-trucks/kenworth-obsolete-2k-trk-az/cm3l4qcm.html,Tank Trucks,2018,7633h,"Mesa, AZ,  US","47,703 USD"
Chevrolet 5500HD Service Truck,https://www.mascus.com/transportation/other-trucks/chevrolet-5500hd-service-truck/dniqgnbq.html,Other Trucks,2020,"Mifflinburg, Pennsylvania,  US",,On Request
Kenworth (OBSOLETE) 2K TRK AZ,https://www.mascus.com/transportation/tank-trucks/kenworth-obsolete-2k-trk-az/gfhkcsgf.html,Tank Trucks,2018,7020h,"Mesa, AZ,  US","48,536 USD"
Kenworth (OBSOLETE) 4K TRUCK,https://www.mascus.com/transportation/tank-trucks/kenworth-obsolete-4k-truck/9g7k5k3t.html,Tank Trucks,2017,7567h,"Apache Junction, Arizona,  US","97,803 USD"
Kenworth (OBSOLETE) 2K TRK AZ,https://www.mascus.com/transportation/tank-trucks/kenworth-obsolete-2k-trk-az/4j7g9r8q.html,Tank Trucks,2018,9845h,"Mesa, Arizona,  US","47,457 USD"
Kenworth (OBSOLETE) 4K TRK AZ,https://www.mascus.com/transportation/tank-trucks/kenworth-obsolete-4k-trk-az/hqcqglcp.html,Tank Trucks,2013,5613h,"Mesa, AZ,  US","75,446 USD"
Freightliner M Line,https://www.mascus.com/transportation/tipper-trucks/freightliner-m-line/bibt4tfr.html,Dump Trucks,2014,146000mil,"Castaic, California,  US","39,500 USD"
Kenworth W 900,https://www.mascus.com/transportation/tipper-trucks/kenworth-w-900/4r6fchil.html,Dump Trucks,2001,733000mil,"Greer, South Carolina,  US","68,750 USD"
Peterbilt 367,https://www.mascus.com/transportation/tipper-trucks/peterbilt-367/es7jbu5k.html,Dump Trucks,2016,449000mil,"Greer, South Carolina,  US","118,750 USD"
