titre,prix,annee,km,pays,type,modele,lien
Volvo FM 9/340 6X2 Chassis Truck,Company,2009,"298,258 miles",Netherlands,Cab & Chassis Trucks,Volvo FM 9/340 6X2 Chassis truck,https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fm-9-340-6x2-chassis-truck/csgihh4s.html
ECIM 500 L S/A Citerne A Eau 1 Essieu Water Tank T,Company,2008,,France,Other Trucks,ECIM 500 L S/A Citerne A Eau 1 Essieu Water Tank T,https://www.mascus.com/transportation/other-trucks/ecim-500-l-s-a-citerne-a-eau-1-essieu-water-tank-t/7o3f7jar.html
"Mercedes-Benz Actros 3341 K 6x4, Bormatik Links, Heckkran Penz",Company,2009,"164,145 miles",Germany,Dump Trucks,"Mercedes-Benz Actros 3341 K 6x4, Bormatik links, Heckkran Penz",https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-actros-3341-k-6x4-bormatik-links-heckkran-penz/iq5jglbi.html
International MV,Company,2027,,Canada,Cab & Chassis Trucks,International MV,https://www.mascus.com/transportation/chassis-cab-trucks/international-mv/3f7hgm7s.html
Scania P 230 Abrollkipper * 4x2 * Top Zustand !,Company,2007,"180,819 miles",Poland,Hook lift trucks,Scania P 230 Abrollkipper * 4x2 * Top Zustand !,https://www.mascus.com/transportation/hook-lift-trucks/scania-p-230-abrollkipper-4x2-top-zustand/cl8hci8o.html
MAN TGS 28.500 - 153 TKm - Palfinger PK 19.001 SLD,Company,2018,"95,188 miles",Germany,Boom / Crane / Bucket Trucks,MAN TGS 28.500 - 153 TKm - Palfinger PK 19.001 SLD,https://www.mascus.com/transportation/crane-trucks/man-tgs-28-500-153-tkm-palfinger-pk-19-001-sld/9l9mho9l.html
Mercedes-Benz SPRINTER 516 BLUETEC,Company,2015,"185,790 miles",Poland,Other Trucks,Mercedes-Benz SPRINTER 516 BLUETEC,https://www.mascus.com/transportation/other-trucks/mercedes-benz-sprinter-516-bluetec/6fhkbiet.html
Freightliner M2 112,Company,2012,"149,809 miles",United States,Boom / Crane / Bucket Trucks,Freightliner M2 112,https://www.mascus.com/transportation/crane-trucks/freightliner-m2-112/cjbmaffu.html
Volvo FM,Company,2017,"491,114 miles",Finland,Demountable Trucks,Volvo FM,https://www.mascus.com/transportation/demountables-trucks/volvo-fm/6hdn8rcs.html
CAT 730WW,Company,2025,,United States,Tank Trucks,CAT 730WW,https://www.mascus.com/transportation/tank-trucks/cat-730ww/7q9lfmef.html
Volvo FH 540 - Flatbed Truck + Crane,Company,2018,"360,395 miles",Hungary,Flatbed Trucks,Volvo FH 540 - Flatbed truck + Crane,https://www.mascus.com/transportation/flatbed-dropside-trucks/volvo-fh-540-flatbed-truck-crane/ei8k8oat.html
Freightliner M2 106,Company,2019,"208,662 miles",United States,Box trucks,Freightliner M2 106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106/ilchalep.html
Mercedes-Benz AROCS 2658,Company,2017,"347,968 miles",Hungary,Dump Trucks,Mercedes-Benz AROCS 2658,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-2658/6kbs8ihf.html
"MAN TGX 26,500 XXL, Meiller RS21-65, Intarder Standk",Company,2019,"369,933 miles",Germany,Hook lift trucks,"MAN TGX 26,500 XXL, Meiller RS21-65, Intarder Standk",https://www.mascus.com/transportation/hook-lift-trucks/man-tgx-26-500-xxl-meiller-rs21-65-intarder-standk/bgiqiq5s.html
Peterbilt 567,Company,2026,,United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/4hgihqei.html
Mercedes-Benz 1117,Company,1992,"270,293 miles",Netherlands,Dump Trucks,Mercedes-Benz 1117,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-1117/5q9lch7n.html
Scania R 650,Company,2019,,Finland,Log trucks,Scania R 650,https://www.mascus.com/transportation/timber-trucks/scania-r-650/hkduhf7n.html
GMC Savana G3500,Company,2020,"155,596 miles",United States,Box trucks,GMC Savana G3500,https://www.mascus.com/transportation/box-body-trucks/gmc-savana-g3500/8iefgnht.html
Howo 371 8x4,Company,2024,"4,660 miles",China,Dump Trucks,Howo 371 8x4,https://www.mascus.com/transportation/tipper-trucks/howo-371-8x4/cjip6s3g.html
Volvo VNR,Company,2022,,United States,Dump Trucks,Volvo VNR,https://www.mascus.com/transportation/tipper-trucks/volvo-vnr/dgfi8ndf.html
Western Star 4900FA,Company,2012,,United States,Other Trucks,Western Star 4900FA,https://www.mascus.com/transportation/other-trucks/western-star-4900fa/7qaf5fip.html
Volvo FM330 4X2 EURO6 + SIDE OPENING,Company,2017,"290,584 miles",Estonia,Box trucks,Volvo FM330 4X2 EURO6 + SIDE OPENING,https://www.mascus.com/transportation/box-body-trucks/volvo-fm330-4x2-euro6-side-opening/6mas8kdt.html
Mercedes-Benz Atego 1221 MEAT ROHRBAHNEN CARRIER SUPRA FRC 07-20,Company,2017,"172,741 miles",Netherlands,Reefer Trucks,Mercedes-Benz Atego 1221 MEAT ROHRBAHNEN CARRIER SUPRA FRC 07-20,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-atego-1221-meat-rohrbahnen-carrier-supra-frc-07-20/iubocfft.html
Mercedes-Benz Atego 1324 4X2 13tonner Thermo King T-1200R Manual,Company,2012,"192,669 miles",Netherlands,Reefer Trucks,Mercedes-Benz Atego 1324 4X2 13tonner Thermo King T-1200R Manual,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-atego-1324-4x2-13tonner-thermo-king-t-1200r-manual/7i9pemfk.html
Mercedes-Benz Atego 818 / Ladebordwand,Company,2012,"277,361 miles",Germany,Curtain Side Trucks,Mercedes-Benz Atego 818 / Ladebordwand,https://www.mascus.com/transportation/curtainsider-trucks/mercedes-benz-atego-818-ladebordwand/hkhufjir.html
Mercedes-Benz Actros 1845 FSN Autoschlepper 6 Autos,Company,2017,"442,335 miles",Germany,Car Haulers,Mercedes-Benz Actros 1845 FSN Autoschlepper 6 Autos,https://www.mascus.com/transportation/vehicle-transporters/mercedes-benz-actros-1845-fsn-autoschlepper-6-autos/6m9fbgcf.html
Mercedes-Benz AXOR 1828 CHAIN CONTAINER MEILLER,Company,2005,"320,266 miles",Slovak Republic,Skip loader trucks,Mercedes-Benz AXOR 1828 CHAIN CONTAINER MEILLER,https://www.mascus.com/transportation/skip-loader-trucks/mercedes-benz-axor-1828-chain-container-meiller/3uatif5q.html
Iveco 160E25 4x2 Fridge,Company,2017,"551,777 miles",Denmark,Reefer Trucks,Iveco 160E25 4x2 Fridge,https://www.mascus.com/transportation/temperature-controlled-trucks/iveco-160e25-4x2-fridge/cuiq3nct.html
"Iveco Stralis 330 CNG EURO 6, CNG, Manual Transmission,",Company,,,,,,https://www.mascus.com/transportation/temperature-controlled-trucks/iveco-stralis-330-cng-euro-6-cng-manual-transmission/7ghubrat.html
"Scania P 410 EURO 6, Retarder, Dhollandia, Carrier",Company,,,,,,https://www.mascus.com/transportation/temperature-controlled-trucks/scania-p-410-euro-6-retarder-dhollandia-carrier/arerdpih.html
MAN TGX 26.580 6x4 / Kurzholz / Tajfun 150Z96,Company,2022,"310,064 miles",Germany,Log trucks,MAN TGX 26.580 6x4 / Kurzholz / Tajfun 150Z96,https://www.mascus.com/transportation/timber-trucks/man-tgx-26-580-6x4-kurzholz-tajfun-150z96/elcl5l7g.html
Mack Granite,Company,2023,"71,381 miles",United States,Dump Trucks,Mack Granite,https://www.mascus.com/transportation/tipper-trucks/mack-granite/4m7m5l8r.html
Chevrolet Silverado 3500HD,Company,2018,,United States,Dump Trucks,Chevrolet Silverado 3500HD,https://www.mascus.com/transportation/tipper-trucks/chevrolet-silverado-3500hd/fheuho6r.html
Mack GR64B,Company,2019,,United States,Concrete Trucks,Mack GR64B,https://www.mascus.com/transportation/concrete-trucks/mack-gr64b/9p9o8jfi.html
"MAN TGS 26.480 6x4 BB, Kran Hiab 244 E-5 Hiduo, Funk,",Company,2011,"276,903 miles",Germany,Dump Trucks,"MAN TGS 26.480 6x4 BB, Kran Hiab 244 E-5 Hiduo, Funk,",https://www.mascus.com/transportation/tipper-trucks/man-tgs-26-480-6x4-bb-kran-hiab-244-e-5-hiduo-funk/igambm3h.html
Mercedes-Benz ACTROS 4141,Company,2009,"244,820 miles",Poland,Dump Trucks,Mercedes-Benz ACTROS 4141,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-actros-4141/bqgp5q7t.html
Iveco Eurocargo ML190-280L---023,Company,2016,,Spain,Reefer Trucks,Iveco Eurocargo ML190-280L---023,https://www.mascus.com/transportation/temperature-controlled-trucks/iveco-eurocargo-ml190-280l-023/au4g3saf.html
MAN 18.290 TGM,Company,2021,"289,350 miles",Netherlands,Box trucks,MAN 18.290 TGM,https://www.mascus.com/transportation/box-body-trucks/man-18-290-tgm/7ldn3pio.html
