titre,prix,annee,km,pays,type,modele,lien
ECARRY Elektro Fahrgestell ! 3.5t,Company,2023,,Germany,Cab & Chassis Trucks,ECARRY Elektro Fahrgestell ! 3.5t,https://www.mascus.com/transportation/chassis-cab-trucks/ecarry-elektro-fahrgestell-3-5t/fu5s6g6j.html
Mack GR64B,Company,2027,799 miles,United States,Other Trucks,Mack GR64B,https://www.mascus.com/transportation/other-trucks/mack-gr64b/gh9p8hgt.html
Mercedes-Benz Mercedes Benz Antos 2540,Company,2014,"266,623 miles",Germany,Beverage Trucks,Mercedes-Benz Mercedes Benz Antos 2540,https://www.mascus.com/transportation/beverage-delivery-trucks/mercedes-benz-mercedes-benz-antos-2540/8saq8k5p.html
Isuzu NPR-1G404,Company,2027,,United States,Cab & Chassis Trucks,Isuzu NPR-1G404,https://www.mascus.com/transportation/chassis-cab-trucks/isuzu-npr-1g404/df3ickgk.html
CAT CT660L,Company,2011,,United States,Skip loader trucks,CAT CT660L,https://www.mascus.com/transportation/skip-loader-trucks/cat-ct660l/ajalamck.html
Renault D240.16,Company,2019,"142,915 miles",Spain,Reefer Trucks,Renault D240.16,https://www.mascus.com/transportation/temperature-controlled-trucks/renault-d240-16/bl7qdkek.html
Renault Master,Company,2012,"150,138 miles",France,Dump Trucks,Renault Master,https://www.mascus.com/transportation/tipper-trucks/renault-master/coisdq9i.html
Volvo TRUCK VNL64TV04,Company,2027,,United States,Other Trucks,Volvo TRUCK VNL64TV04,https://www.mascus.com/transportation/other-trucks/volvo-truck-vnl64tv04/cg4j4igs.html
Hino 268,Company,2018,,United States,Box trucks,Hino 268,https://www.mascus.com/transportation/box-body-trucks/hino-268/7udoar6r.html
Scania P280,Company,2019,"388,978 miles",Belgium,Box trucks,Scania P280,https://www.mascus.com/transportation/box-body-trucks/scania-p280/4jfm7fgr.html
Renault D210FRC,Company,2020,"94,110 miles",Belgium,Reefer Trucks,Renault D210FRC,https://www.mascus.com/transportation/temperature-controlled-trucks/renault-d210frc/7kerdq8f.html
Freightliner M2 106,Company,2016,"179,705 miles",United States,Flatbed Trucks,Freightliner M2 106,https://www.mascus.com/transportation/flatbed-dropside-trucks/freightliner-m2-106/9t6idk9f.html
Freightliner M2 106,Company,2007,"217,451 miles",United States,Box trucks,Freightliner M2 106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2-106/eoanej4u.html
Mercedes-Benz Arocs 1827 AWD 4x4,Company,2017,"10,377 miles",Hungary,Winch trucks,Mercedes-Benz Arocs 1827 AWD 4x4,https://www.mascus.com/transportation/beavertail-flatbed---winch-trucks/mercedes-benz-arocs-1827-awd-4x4/dmdpashf.html
Mercedes-Benz Atego 1218,Company,2003,"200,130 miles",Netherlands,Box trucks,Mercedes-Benz Atego 1218,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-atego-1218/hf3o7nim.html
Volvo FH540,Company,2013,"187,530 miles",Finland,Hook lift trucks,Volvo FH540,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fh540/3fgs6h4f.html
Scania 94 4x2,Company,1999,,Denmark,Car Haulers,Scania 94 4x2,https://www.mascus.com/transportation/vehicle-transporters/scania-94-4x2/7khn8s7s.html
DAF CF85.340,Company,2004,"323,128 miles",France,Dump Trucks,DAF CF85.340,https://www.mascus.com/transportation/tipper-trucks/daf-cf85-340/dq4i3q9p.html
"Scania G480 8x2, Effer 265/6S Nosturiauto",Company,2011,"366,325 miles",Finland,Boom / Crane / Bucket Trucks,"Scania G480 8x2, Effer 265/6S Nosturiauto",https://www.mascus.com/transportation/crane-trucks/scania-g480-8x2-effer-265-6s-nosturiauto/dofndjcn.html
Ford E350,Company,2019,"139,991 miles",United States,Box trucks,Ford E350,https://www.mascus.com/transportation/box-body-trucks/ford-e350/hfao5hdo.html
Autocar ACX64,Company,2024,,United States,Cab & Chassis Trucks,Autocar ACX64,https://www.mascus.com/transportation/chassis-cab-trucks/autocar-acx64/ifgf5g3i.html
Volvo FH 500 Globetrotter XL Cartransporter Blyss Modulo,Company,2024,"13,672 miles",Netherlands,Car Haulers,Volvo FH 500 Globetrotter XL Cartransporter Blyss Modulo,https://www.mascus.com/transportation/vehicle-transporters/volvo-fh-500-globetrotter-xl-cartransporter-blyss-modulo/6m6i8k8q.html
Hino FM1JLUD,Company,2012,,Colombia,Other Trucks,Hino FM1JLUD,https://www.mascus.com/transportation/other-trucks/hino-fm1jlud/9hgpdsfh.html
Mercedes-Benz ANTOS / 1830 / E 6 / CHŁODNIA + WINDA / 18 PALET /,Company,,"73,322 miles",Hungary,Reefer Trucks,Mercedes-Benz ANTOS / 1830 / E 6 / CHŁODNIA + WINDA / 18 PALET /,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-antos-1830-e-6-chlodnia-winda-18-palet/aihj8kdk.html
Ford F-450 XL,Company,2024,"91,219 miles",United States,Flatbed Trucks,Ford F-450 XL,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f-450-xl/6u3kdich.html
Mercedes-Benz Arocs 4145 8X4 NEW! 19m3 Remmel Tipper Big-Axle St,Company,2024,7 miles,Netherlands,Dump Trucks,Mercedes-Benz Arocs 4145 8X4 NEW! 19m3 Remmel tipper Big-Axle St,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-4145-8x4-new-19m3-remmel-tipper-big-axle-st/5p7oip3l.html
MAN TGA 26.530 6x4 PALFINGER PK 50002 Crane Winch,Company,2006,"445,116 miles",Poland,Boom / Crane / Bucket Trucks,MAN TGA 26.530 6x4 PALFINGER PK 50002 Crane Winch,https://www.mascus.com/transportation/crane-trucks/man-tga-26-530-6x4-palfinger-pk-50002-crane-winch/6iehhn7g.html
Mercedes-Benz AROCS 3246,Company,,"213,752 miles",Hungary,Dump Trucks,Mercedes-Benz AROCS 3246,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-3246/goes8ofm.html
Scania P 410 4x2 2-Achs Kipper Meiller Bordmatik,Company,2016,"170,479 miles",Germany,Dump Trucks,Scania P 410 4x2 2-Achs Kipper Meiller Bordmatik,https://www.mascus.com/transportation/tipper-trucks/scania-p-410-4x2-2-achs-kipper-meiller-bordmatik/aohmam6j.html
Mack GR84F,Company,2019,"275,828 miles",United States,Dump Trucks,Mack GR84F,https://www.mascus.com/transportation/tipper-trucks/mack-gr84f/clir6qik.html
Renault C460+BACHE,Company,2018,"132,650 miles",Belgium,Dump Trucks,Renault C460+BACHE,https://www.mascus.com/transportation/tipper-trucks/renault-c460-bache/cshidrhk.html
Iveco DAILY 35S17 Valník S Plachtou VIN 254,Company,2015,"566,979 miles",Slovak Republic,Curtain Side Trucks,Iveco DAILY 35S17 valník s plachtou VIN 254,https://www.mascus.com/transportation/curtainsider-trucks/iveco-daily-35s17-valnik-s-plachtou-vin-254/9mck8jdq.html
Volvo FH 460 / ZESTAW TANDEM / 120 M3 / PRZEJAZDOWY / I-,Company,2021,"483,427 miles",Hungary,Curtain Side Trucks,Volvo FH 460 / ZESTAW TANDEM / 120 M3 / PRZEJAZDOWY / I-,https://www.mascus.com/transportation/curtainsider-trucks/volvo-fh-460-zestaw-tandem-120-m3-przejazdowy-i/9ibseu6r.html
GMC C8500,Company,1998,,United States,Dump Trucks,GMC C8500,https://www.mascus.com/transportation/tipper-trucks/gmc-c8500/im6t9lem.html
Peterbilt 567,Company,2026,,United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/brhrfq7l.html
Renault 18-Pallet Box Truck With Bussbygg Body,Company,2020,"466,028 miles",Norway,Box trucks,Renault 18-pallet box truck with Bussbygg body,https://www.mascus.com/transportation/box-body-trucks/renault-18-pallet-box-truck-with-bussbygg-body/5m8fihet.html
Isuzu NRR,Company,2016,"444,055 miles",United States,Box trucks,Isuzu NRR,https://www.mascus.com/transportation/box-body-trucks/isuzu-nrr/ahdu9qcl.html
MAN TGM 18.250 + EURO 6 + CARRIER + LIFT,Company,2016,"363,290 miles",Netherlands,Reefer Trucks,MAN TGM 18.250 + EURO 6 + CARRIER + LIFT,https://www.mascus.com/transportation/temperature-controlled-trucks/man-tgm-18-250-euro-6-carrier-lift/brar3tbt.html
Iveco DAILY 35C18-3.0D-16V TURBO / OMAS Endommagée,Company,2023,"110,278 miles",France,Car Haulers,Iveco DAILY 35C18-3.0D-16V TURBO / OMAS endommagée,https://www.mascus.com/transportation/vehicle-transporters/iveco-daily-35c18-3-0d-16v-turbo-omas-endommagee/5q8ohp3m.html
Iveco 35C11,Company,2015,"193,325 miles",France,Dump Trucks,Iveco 35C11,https://www.mascus.com/transportation/tipper-trucks/iveco-35c11/fnag5jdg.html
International 1754,Company,1988,"291,398 miles",United States,Dump Trucks,International 1754,https://www.mascus.com/transportation/tipper-trucks/international-1754/8r9r6o8o.html
MAN TGS 28.440 6X2 ABSETZKIPPER E6,Company,2015,"330,259 miles",Austria,Demountable Trucks,MAN TGS 28.440 6X2 ABSETZKIPPER E6,https://www.mascus.com/transportation/demountables-trucks/man-tgs-28-440-6x2-absetzkipper-e6/fkih5t6l.html
International Paystar,Company,2002,,United States,Dump Trucks,International Paystar,https://www.mascus.com/transportation/tipper-trucks/international-paystar/6gcr6rij.html
International 4300,Company,2012,"171,186 miles",United States,Dump Trucks,International 4300,https://www.mascus.com/transportation/tipper-trucks/international-4300/grejajft.html
Mercedes-Benz Atego 1828 Abschleppfahrzeug Mit Kran HMF 1722 T4,Company,2000,"187,654 miles",Germany,Boom / Crane / Bucket Trucks,Mercedes-Benz Atego 1828 Abschleppfahrzeug mit Kran HMF 1722 T4,https://www.mascus.com/transportation/crane-trucks/mercedes-benz-atego-1828-abschleppfahrzeug-mit-kran-hmf-1722-t4/3g9sak4n.html
Mack CX688RS,Company,2006,"380,226 miles",Australia,Dump Trucks,Mack CX688RS,https://www.mascus.com/transportation/tipper-trucks/mack-cx688rs/7naubjcf.html
Terex PPM ATT 350,Company,1999,,Czech Republic,Boom / Crane / Bucket Trucks,Terex PPM ATT 350,https://www.mascus.com/transportation/crane-trucks/terex-ppm-att-350/dleggsdh.html
Volvo FE 280 KSA-Kori + PL-Nostin,Company,2016,"150,372 miles",Finland,Box trucks,Volvo FE 280 KSA-kori + PL-nostin,https://www.mascus.com/transportation/box-body-trucks/volvo-fe-280-ksa-kori-pl-nostin/etagckds.html
Dodge Ram 5500,Company,2011,"103,234 miles",Canada,Hook lift trucks,Dodge Ram 5500,https://www.mascus.com/transportation/hook-lift-trucks/dodge-ram-5500/cjirbqef.html
Howo 371 6x4,Company,2024,"6,214 miles",China,Dump Trucks,Howo 371 6x4,https://www.mascus.com/transportation/tipper-trucks/howo-371-6x4/fn9mesdi.html
Scania P 360 / E 6 / CHŁODNIA + WINDA / 18 PALET / RETA,Company,2019,"192,625 miles",Poland,Reefer Trucks,Scania P 360 / E 6 / CHŁODNIA + WINDA / 18 PALET / RETA,https://www.mascus.com/transportation/temperature-controlled-trucks/scania-p-360-e-6-chlodnia-winda-18-palet-reta/dqbh8l3i.html
Kenworth C500B,Company,1991,,Canada,Flatbed Trucks,Kenworth C500B,https://www.mascus.com/transportation/flatbed-dropside-trucks/kenworth-c500b/csdgdi7h.html
Mitsubishi Canter 815,Company,2014,"73,027 miles",Australia,Reefer Trucks,Mitsubishi Canter 815,https://www.mascus.com/transportation/temperature-controlled-trucks/mitsubishi-canter-815/fl6ubu5m.html
Mack Granite,Company,2006,"930,000 miles",United States,Demountable Trucks,Mack Granite,https://www.mascus.com/transportation/demountables-trucks/mack-granite/6hitdn6s.html
Scania S520B6X4NB,Company,2020,"258,801 miles",Norway,Other Trucks,Scania S520B6X4NB,https://www.mascus.com/transportation/other-trucks/scania-s520b6x4nb/emfudrdk.html
DAF LF 290 FA 4x2 BL TKing Kühlkoffer BÄR Klima,Company,2017,"467,040 miles",Germany,Reefer Trucks,DAF LF 290 FA 4x2 BL TKing Kühlkoffer BÄR Klima,https://www.mascus.com/transportation/temperature-controlled-trucks/daf-lf-290-fa-4x2-bl-tking-kuhlkoffer-bar-klima/8idl4t5p.html
"Volvo FM 420 KüHLKOFFER TK T-1200R, LBW, FULL-AIR, E6",Company,2019,"223,996 miles",Austria,Reefer Trucks,"Volvo FM 420 KüHLKOFFER TK T-1200R, LBW, FULL-AIR, E6",https://www.mascus.com/transportation/temperature-controlled-trucks/volvo-fm-420-kuhlkoffer-tk-t-1200r-lbw-full-air-e6/8fbj3f8o.html
Volvo WAH,Company,2001,"198,868 miles",United States,Car Haulers,Volvo WAH,https://www.mascus.com/transportation/vehicle-transporters/volvo-wah/ageq6fds.html
Scania R 420,Company,2009,"351,075 miles",France,Hook lift trucks,Scania R 420,https://www.mascus.com/transportation/hook-lift-trucks/scania-r-420/4q3u8o3k.html
Volvo FE 250 Bak+Klep Dhollandia 2.000 Kg 4x2. New Tacho,Company,2019,"198,217 miles",Netherlands,Box trucks,Volvo FE 250 Bak+Klep Dhollandia 2.000 kg 4x2. New tacho,https://www.mascus.com/transportation/box-body-trucks/volvo-fe-250-bak-klep-dhollandia-2-000-kg-4x2-new-tacho/4i9gej7q.html
Renault K 520,Company,2026,435 miles,Spain,Boom / Crane / Bucket Trucks,Renault K 520,https://www.mascus.com/transportation/crane-trucks/renault-k-520/bocjiiii.html
Scania P250 B 4X2 NB,Company,2019,"372,823 miles",Denmark,Box trucks,Scania P250 B 4X2 NB,https://www.mascus.com/transportation/box-body-trucks/scania-p250-b-4x2-nb/blagbn8p.html
Scania 94 D 220,Company,1998,"190,140 miles",Denmark,Car Haulers,Scania 94 D 220,https://www.mascus.com/transportation/vehicle-transporters/scania-94-d-220/glhtem6s.html
Peterbilt 365,Company,2015,,United States,Skip loader trucks,Peterbilt 365,https://www.mascus.com/transportation/skip-loader-trucks/peterbilt-365/9thj9idj.html
Scania G 280,Company,2019,"429,989 miles",Poland,Curtain Side Trucks,Scania G 280,https://www.mascus.com/transportation/curtainsider-trucks/scania-g-280/hl3r3ihm.html
Freightliner M2 106,Company,2018,"84,855 miles",Canada,Curtain Side Trucks,Freightliner M2 106,https://www.mascus.com/transportation/curtainsider-trucks/freightliner-m2-106/5ubh9p9f.html
Mercedes-Benz Arocs 2535 6x2x4 FASSI F295RA.2.26 Crane,Company,2018,"70,026 miles",Hungary,Flatbed Trucks,Mercedes-Benz Arocs 2535 6x2x4 FASSI F295RA.2.26 Crane,https://www.mascus.com/transportation/flatbed-dropside-trucks/mercedes-benz-arocs-2535-6x2x4-fassi-f295ra-2-26-crane/bqfmfh5f.html
Mercedes-Benz Arocs Tipper 6x4 - Euro 6.,Company,2014,"210,645 miles",Norway,Dump Trucks,Mercedes-Benz Arocs Tipper 6x4 - Euro 6.,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-arocs-tipper-6x4-euro-6/9gcn4s8j.html
Chevrolet Express G3500,Company,2011,"162,877 miles",United States,Box trucks,Chevrolet Express G3500,https://www.mascus.com/transportation/box-body-trucks/chevrolet-express-g3500/bi3o3k3m.html
Freightliner M2106,Company,2019,"348,781 miles",United States,Box trucks,Freightliner M2106,https://www.mascus.com/transportation/box-body-trucks/freightliner-m2106/7kep3u4s.html
"Alga ABALPR, Pritsche, Plattform, Bordwände",Company,2026,,Germany,Hook lift trucks,"alga ABALPR, Pritsche, Plattform, Bordwände",https://www.mascus.com/transportation/hook-lift-trucks/alga-abalpr-pritsche-plattform-bordwande/5f5i3g9f.html
Renault D Wide 210Dti – ---R-018,Company,2016,,Spain,Reefer Trucks,Renault D Wide 210Dti – ---R-018,https://www.mascus.com/transportation/temperature-controlled-trucks/renault-d-wide-210dti-r-018/8igq5k5s.html
Peterbilt 567,Company,2019,"359,000 miles",United States,Dump Trucks,Peterbilt 567,https://www.mascus.com/transportation/tipper-trucks/peterbilt-567/5mehfghj.html
International MV,Company,2027,,Canada,Cab & Chassis Trucks,International MV,https://www.mascus.com/transportation/chassis-cab-trucks/international-mv/7uarcfgq.html
Terex FD4000,Company,2021,,United States,Concrete Trucks,Terex FD4000,https://www.mascus.com/transportation/concrete-trucks/terex-fd4000/3r6thtgt.html
Mercedes-Benz Antos 2540 / 6x2 / Tail Lift,Company,,"293,287 miles",Hungary,Reefer Trucks,Mercedes-Benz Antos 2540 / 6x2 / tail lift,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-antos-2540-6x2-tail-lift/3ngnbibo.html
Howo 430 6x4,Company,2025,"2,983 miles",China,Dump Trucks,Howo 430 6x4,https://www.mascus.com/transportation/tipper-trucks/howo-430-6x4/8q9gdkis.html
Heil Pneumatic Tanker,Company,2015,,United States,Other Trucks,Heil Pneumatic Tanker,https://www.mascus.com/transportation/other-trucks/heil-pneumatic-tanker/akes7ofo.html
Scania R 560 6x2/4-4900 Kokosivuaukeavalla Korilla + PL,Company,2013,"620,625 miles",Finland,Box trucks,Scania R 560 6x2/4-4900 kokosivuaukeavalla korilla + PL,https://www.mascus.com/transportation/box-body-trucks/scania-r-560-6x2-4-4900-kokosivuaukeavalla-korilla-pl/5icu9miq.html
Sisu 12 E 480,Company,2005,"467,271 miles",Finland,Dump Trucks,Sisu 12 E 480,https://www.mascus.com/transportation/tipper-trucks/sisu-12-e-480/cn4min6u.html
Terex FD4000,Company,2020,,United States,Concrete Trucks,Terex FD4000,https://www.mascus.com/transportation/concrete-trucks/terex-fd4000/gu8kffhf.html
Mercedes-Benz Atego 1222 E5---008,Company,2014,"171,012 miles",Spain,Reefer Trucks,Mercedes-Benz Atego 1222 E5---008,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-atego-1222-e5-008/4s3i4sgh.html
Mack CT713,Company,2006,"559,000 miles",United States,Dump Trucks,Mack CT713,https://www.mascus.com/transportation/tipper-trucks/mack-ct713/3t5lcjfh.html
Howo 371 8x4,Company,2024,"4,039 miles",China,Dump Trucks,Howo 371 8x4,https://www.mascus.com/transportation/tipper-trucks/howo-371-8x4/3gih9jck.html
Iveco EUROCARGO 280-180 CAJA GRAN VOLUMEN,Company,2018,"233,014 miles",Spain,Box trucks,Iveco EUROCARGO 280-180 CAJA GRAN VOLUMEN,https://www.mascus.com/transportation/box-body-trucks/iveco-eurocargo-280-180-caja-gran-volumen/akcuasii.html
Volvo FM500,Company,2019,"184,547 miles",Denmark,Boom / Crane / Bucket Trucks,Volvo FM500,https://www.mascus.com/transportation/crane-trucks/volvo-fm500/cp8jihgj.html
Mercedes-Benz ANTOS 2540 6X2*4 LIFT FRIGO,Company,2018,"403,994 miles",Netherlands,Reefer Trucks,Mercedes-Benz ANTOS 2540 6X2*4 LIFT FRIGO,https://www.mascus.com/transportation/temperature-controlled-trucks/mercedes-benz-antos-2540-6x2-4-lift-frigo/cjdthgei.html
Volvo FMX 540 8x4 Euro 6 Hiab 28 Tonmeter Laadkraan,Company,2014,"232,721 miles",Netherlands,Hook lift trucks,Volvo FMX 540 8x4 Euro 6 Hiab 28 Tonmeter laadkraan,https://www.mascus.com/transportation/hook-lift-trucks/volvo-fmx-540-8x4-euro-6-hiab-28-tonmeter-laadkraan/co6mgo3h.html
"Mercedes-Benz Palfinger PK 680 TK 26,7 M-Max.2.410 Kg -Funk FB",Company,1994,"55,923 miles",Germany,Boom / Crane / Bucket Trucks,"Mercedes-Benz Palfinger PK 680 TK 26,7 m-max.2.410 kg -Funk FB",https://www.mascus.com/transportation/crane-trucks/mercedes-benz-palfinger-pk-680-tk-26-7-m-max-2-410-kg-funk-fb/aoetar5p.html
Mercedes-Benz Actros Neu 2543 L 6x2 Absetzkipper Meiller,Company,2016,"165,029 miles",Germany,Demountable Trucks,Mercedes-Benz Actros neu 2543 L 6x2 Absetzkipper Meiller,https://www.mascus.com/transportation/demountables-trucks/mercedes-benz-actros-neu-2543-l-6x2-absetzkipper-meiller/cqfsip4t.html
Volvo FL 280 FL 4X2 16 Tons Chassis Day Cab Airco Automa,Company,2015,"241,081 miles",Netherlands,Cab & Chassis Trucks,Volvo FL 280 FL 4X2 16 tons chassis Day cab Airco Automa,https://www.mascus.com/transportation/chassis-cab-trucks/volvo-fl-280-fl-4x2-16-tons-chassis-day-cab-airco-automa/di5g3q4s.html
Freightliner M2 106,Company,,,,,,https://www.mascus.com/transportation/temperature-controlled-trucks/freightliner-m2-106/ahbr5q7u.html
Hino 368,Company,2016,,Canada,Box trucks,Hino 368,https://www.mascus.com/transportation/box-body-trucks/hino-368/6q6fgp7l.html
Link-Belt HTC-8675 II,Company,2021,"42,346 miles",United States,Boom / Crane / Bucket Trucks,Link-Belt HTC-8675 II,https://www.mascus.com/transportation/crane-trucks/link-belt-htc-8675-ii/3ocrfo3o.html
MAN TGS 41.480 TGS 8X6 NEW! 8x6 19m3 Tipper Steel Susp,Company,2025,7 miles,Netherlands,Dump Trucks,MAN TGS 41.480 TGS 8X6 NEW! 8x6 19m3 tipper Steel susp,https://www.mascus.com/transportation/tipper-trucks/man-tgs-41-480-tgs-8x6-new-8x6-19m3-tipper-steel-susp/4k8kgkhm.html
Renault D Wide 430,Company,2021,,Finland,Hook lift trucks,Renault D Wide 430,https://www.mascus.com/transportation/hook-lift-trucks/renault-d-wide-430/9kdl9s8g.html
DAF LF260,Company,2020,"114,954 miles",Ireland,Other Trucks,DAF LF260,https://www.mascus.com/transportation/other-trucks/daf-lf260/4g5q8ifo.html
Peterbilt 348,Company,2008,"87,000 miles",United States,Dump Trucks,Peterbilt 348,https://www.mascus.com/transportation/tipper-trucks/peterbilt-348/4m7p9lef.html
Mercedes-Benz Actros 1853 LL 4x2 Stehmann DSK Navi Fleet ACC,Company,2017,"306,919 miles",Germany,Dump Trucks,Mercedes-Benz Actros 1853 LL 4x2 Stehmann DSK Navi Fleet ACC,https://www.mascus.com/transportation/tipper-trucks/mercedes-benz-actros-1853-ll-4x2-stehmann-dsk-navi-fleet-acc/cqiritho.html
MAN TGX 580,Company,2017,,Finland,Demountable Trucks,MAN TGX 580,https://www.mascus.com/transportation/demountables-trucks/man-tgx-580/fiaico8s.html
Volvo FE320 6x2*4 Frigoblock FK25SL 9.9 M Frigobox,Company,2016,"412,590 miles",Denmark,Reefer Trucks,Volvo FE320 6x2*4 Frigoblock FK25SL 9.9 m Frigobox,https://www.mascus.com/transportation/temperature-controlled-trucks/volvo-fe320-6x2-4-frigoblock-fk25sl-9-9-m-frigobox/af7igfep.html
Iveco Trakker 360 Trakker 6X4 Palfinger PK18002 EH Kran,Company,2016,"211,458 miles",Netherlands,Flatbed Trucks,Iveco Trakker 360 Trakker 6X4 Palfinger PK18002 EH Kran,https://www.mascus.com/transportation/flatbed-dropside-trucks/iveco-trakker-360-trakker-6x4-palfinger-pk18002-eh-kran/gjancg5u.html
Scania R490 8x2-*6 Joab Knæk Arm,Company,2017,"274,025 miles",Denmark,Hook lift trucks,Scania R490 8x2-*6 Joab knæk arm,https://www.mascus.com/transportation/hook-lift-trucks/scania-r490-8x2-6-joab-knak-arm/3nfo6m4s.html
Volvo VAH,Company,,,,,,https://www.mascus.com/transportation/vehicle-transporters/volvo-vah/etci6o5o.html
Hubiere 500 L S/A Citerne A Eau 1 Essieu Water Tank Traile,Company,2013,,France,Other Trucks,Hubiere 500 L S/A Citerne A Eau 1 Essieu Water Tank Traile,https://www.mascus.com/transportation/other-trucks/hubiere-500-l-s-a-citerne-a-eau-1-essieu-water-tank-traile/en8keq3m.html
Renault Master DCI125,Company,2012,"159,474 miles",France,Dump Trucks,Renault Master DCI125,https://www.mascus.com/transportation/tipper-trucks/renault-master-dci125/iqhh8gif.html
CAT CT660,Company,2013,"105,599 miles",Canada,Tank Trucks,CAT CT660,https://www.mascus.com/transportation/tank-trucks/cat-ct660/5pbt7qff.html
MAN TGS 33.480 MAN TGS 33.480 6x4 Euro6e Abrollkipper,Company,2026,,Germany,Hook lift trucks,MAN TGS 33.480 MAN TGS 33.480 6x4 Euro6e Abrollkipper,https://www.mascus.com/transportation/hook-lift-trucks/man-tgs-33-480-man-tgs-33-480-6x4-euro6e-abrollkipper/3pgmgpij.html
Isuzu NPR-1F304,Company,2024,150 miles,United States,Cab & Chassis Trucks,Isuzu NPR-1F304,https://www.mascus.com/transportation/chassis-cab-trucks/isuzu-npr-1f304/eg3j4ibk.html
Iveco DAILY 35-160 CAJA LARGA **46.000 KMS**,Company,2022,"28,583 miles",Spain,Curtain Side Trucks,Iveco DAILY 35-160 CAJA LARGA **46.000 KMS**,https://www.mascus.com/transportation/curtainsider-trucks/iveco-daily-35-160-caja-larga-46-000-kms/ckgm8k4m.html
"Mercedes-Benz Antos 2543 L 6x2, Retarder, Lenk-/Lift, Esterer",Company,2016,"231,479 miles",Germany,Tank Trucks,"Mercedes-Benz Antos 2543 L 6x2, Retarder, Lenk-/Lift, Esterer",https://www.mascus.com/transportation/tank-trucks/mercedes-benz-antos-2543-l-6x2-retarder-lenk-lift-esterer/3r8niuam.html
Ford F800,Company,1992,"41,330 miles",United States,Flatbed Trucks,Ford F800,https://www.mascus.com/transportation/flatbed-dropside-trucks/ford-f800/hm8r5l7n.html
MAN TGS 26.420 6x2 BL MEILLER AK12 Absetzer,Company,2018,"97,612 miles",Germany,Demountable Trucks,MAN TGS 26.420 6x2 BL MEILLER AK12 Absetzer,https://www.mascus.com/transportation/demountables-trucks/man-tgs-26-420-6x2-bl-meiller-ak12-absetzer/dp5rir3u.html
"Iveco Daily 70-140 EURO 6, CNG, Dhollandia, Manual Trans",Company,2017,"81,089 miles",Netherlands,Box trucks,"Iveco Daily 70-140 EURO 6, CNG, Dhollandia, Manual trans",https://www.mascus.com/transportation/box-body-trucks/iveco-daily-70-140-euro-6-cng-dhollandia-manual-trans/8kio6jfl.html
Western Star 4900SA,Company,2021,"185,990 miles",Canada,Dump Trucks,Western Star 4900SA,https://www.mascus.com/transportation/tipper-trucks/western-star-4900sa/4ffqeucr.html
Renault Midlum 180dci,Company,2003,"165,443 miles",France,Dump Trucks,Renault Midlum 180dci,https://www.mascus.com/transportation/tipper-trucks/renault-midlum-180dci/3i5i4nhf.html
Mercedes-Benz Antos 2540 L 6x2 Pritsche LBW Coca Cola Getränke,Company,2014,"274,700 miles",Germany,Beverage Trucks,Mercedes-Benz Antos 2540 L 6x2 Pritsche LBW Coca Cola Getränke,https://www.mascus.com/transportation/beverage-delivery-trucks/mercedes-benz-antos-2540-l-6x2-pritsche-lbw-coca-cola-getranke/gfgj9uhg.html
International 2674,Company,1995,"286,153 miles",Canada,Dump Trucks,International 2674,https://www.mascus.com/transportation/tipper-trucks/international-2674/alckiqil.html
Mercedes-Benz Atego 815,Company,2004,"260,976 miles",Norway,Box trucks,Mercedes-Benz Atego 815,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-atego-815/bpfr6jbm.html
Iveco DAILY 70C18,Company,2018,"197,563 miles",Spain,Box trucks,Iveco DAILY 70C18,https://www.mascus.com/transportation/box-body-trucks/iveco-daily-70c18/dj9lig9s.html
Freightliner M2 106,Company,2020,"241,970 miles",United States,Flatbed Trucks,Freightliner M2 106,https://www.mascus.com/transportation/flatbed-dropside-trucks/freightliner-m2-106/9s6mfl7q.html
DAF 480 XFC MEILLER Kipper + B-Matik NEU LKW,Company,2025,815 miles,Germany,Dump Trucks,DAF 480 XFC MEILLER Kipper + B-matik NEU LKW,https://www.mascus.com/transportation/tipper-trucks/daf-480-xfc-meiller-kipper-b-matik-neu-lkw/4ieubm3l.html
Mercedes-Benz Actros 1835 Actros 4X2 19.5tonner 2000kg Ladebordw,Company,2014,"236,985 miles",Netherlands,Box trucks,Mercedes-Benz Actros 1835 Actros 4X2 19.5tonner 2000kg Ladebordw,https://www.mascus.com/transportation/box-body-trucks/mercedes-benz-actros-1835-actros-4x2-19-5tonner-2000kg-ladebordw/4qatchct.html
